ID,Document_ID,Type,Summary,Text,State,Project,Spawns,Covers
REL-00018,,Release,Integrated automotive controls release 2.7,,Released,Project NOVA / Variant EV-X,,"CR-00166, CR-00203, CR-00210, CR-00229, CR-00243, CR-00328, CR-00330, CR-00341, CR-00346, CR-00366, CR-00509, CR-00555, CR-00566, CR-00599, CR-00649, CR-00701, CR-00703, CR-00706, CR-00718, PR-00074, PR-00119, PR-00134, PR-00149, PR-00375, PR-00386, PR-00419, PR-00455"
REL-00019,,Release,Integrated automotive controls release 2.8,,Released,Project NOVA / Variant EV-X,,"CR-00009, CR-00062, CR-00084, CR-00111, CR-00280, CR-00394, CR-00539, CR-00628, CR-00669, CR-00755, PR-00131, PR-00169, PR-00204, PR-00230, PR-00388, PR-00456"
REL-00020,,Release,Integrated automotive controls release 2.9,,Released,Project NOVA / Variant EV-X,,"CR-00013, CR-00135, CR-00249, CR-00360, CR-00390, CR-00411, CR-00529, CR-00538, CR-00567, CR-00593, CR-00650, CR-00677, PR-00057, PR-00105, PR-00196, PR-00297, PR-00303, PR-00311, PR-00330, PR-00405, PR-00412, PR-00421, PR-00423, PR-00480"
REL-00021,,Release,Integrated automotive controls release 3.0,,Released,Project NOVA / Variant EV-X,,"CR-00002, CR-00010, CR-00056, CR-00128, CR-00175, CR-00211, CR-00459, CR-00506, CR-00582, CR-00617, CR-00699, CR-00717, PR-00089, PR-00116, PR-00125, PR-00187, PR-00226, PR-00290, PR-00347, PR-00418"
REL-00022,,Release,Integrated automotive controls release 3.1,,Active,Project NOVA / Variant EV-X,,"CR-00023, CR-00053, CR-00068, CR-00108, CR-00131, CR-00218, CR-00438, CR-00455, CR-00466, CR-00550, CR-00738, PR-00056, PR-00100, PR-00215, PR-00318, PR-00435, PR-00483"
REL-00023,,Release,Integrated automotive controls release 3.2,,Active,Project NOVA / Variant EV-X,,"CR-00036, CR-00046, CR-00076, CR-00077, CR-00213, CR-00269, CR-00295, CR-00308, CR-00323, CR-00581, CR-00600, CR-00603, CR-00606, CR-00735, PR-00178, PR-00192, PR-00200, PR-00227, PR-00272, PR-00336, PR-00367, PR-00443, PR-00447"
REL-00024,,Release,Integrated automotive controls release 3.3,,Released,Project NOVA / Variant EV-X,,"CR-00060, CR-00139, CR-00347, CR-00387, CR-00447, CR-00542, PR-00096, PR-00114, PR-00282, PR-00322, PR-00399"
REL-00025,,Release,Integrated automotive controls release 3.4,,Active,Project NOVA / Variant EV-X,,"CR-00028, CR-00069, CR-00070, CR-00082, CR-00105, CR-00115, CR-00242, CR-00380, CR-00413, CR-00418, CR-00490, CR-00498, CR-00572, CR-00608, CR-00643, CR-00751, PR-00023, PR-00052, PR-00065, PR-00126, PR-00298, PR-00312, PR-00366, PR-00428"
REL-00026,,Release,Integrated automotive controls release 3.5,,Released,Project NOVA / Variant EV-X,,"CR-00020, CR-00030, CR-00042, CR-00086, CR-00185, CR-00279, CR-00306, CR-00426, CR-00441, CR-00546, CR-00625, CR-00681, CR-00692, CR-00758, PR-00018, PR-00136, PR-00173, PR-00234, PR-00356, PR-00362, PR-00372, PR-00452"
REL-00027,,Release,Integrated automotive controls release 3.6,,Active,Project NOVA / Variant EV-X,,"CR-00102, CR-00106, CR-00121, CR-00136, CR-00155, CR-00180, CR-00183, CR-00300, CR-00383, CR-00403, CR-00442, CR-00449, CR-00514, CR-00533, CR-00578, CR-00587, CR-00632, CR-00639, CR-00716, PR-00120, PR-00121, PR-00195, PR-00221, PR-00248, PR-00308, PR-00338, PR-00343, PR-00363, PR-00381, PR-00402, PR-00425"
REL-00028,,Release,Integrated automotive controls release 3.7,,Active,Project NOVA / Variant EV-X,,"CR-00058, CR-00157, CR-00234, CR-00415, CR-00623, CR-00636, CR-00676, CR-00705, CR-00719, PR-00061, PR-00078, PR-00137, PR-00246, PR-00270, PR-00286, PR-00287, PR-00437, PR-00478"
REL-00029,,Release,Integrated automotive controls release 3.8,,Active,Project NOVA / Variant EV-X,,"CR-00032, CR-00063, CR-00265, CR-00283, CR-00324, CR-00427, CR-00482, CR-00569, CR-00659, CR-00707, PR-00084, PR-00124, PR-00138, PR-00166, PR-00307, PR-00357, PR-00380, PR-00384"
REL-00030,,Release,Integrated automotive controls release 3.9,,Active,Project NOVA / Variant EV-X,,"CR-00017, CR-00097, CR-00127, CR-00167, CR-00208, CR-00221, CR-00227, CR-00325, CR-00369, CR-00456, CR-00471, CR-00475, CR-00527, CR-00591, CR-00642, CR-00651, CR-00760, PR-00035, PR-00045, PR-00190, PR-00201, PR-00238, PR-00257, PR-00353, PR-00390, PR-00474"
REL-00031,,Release,Integrated automotive controls release 4.0,,Completed,Project NOVA / Variant EV-X,,"CR-00094, CR-00264, CR-00282, CR-00357, CR-00377, CR-00421, CR-00457, CR-00495, CR-00525, CR-00570, CR-00586, CR-00634, PR-00063, PR-00389, PR-00410"
REL-00032,,Release,Integrated automotive controls release 4.1,,Released,Project NOVA / Variant EV-X,,"CR-00026, CR-00073, CR-00095, CR-00148, CR-00154, CR-00184, CR-00223, CR-00261, CR-00337, CR-00389, CR-00463, CR-00499, CR-00517, CR-00668, CR-00730, PR-00033, PR-00182, PR-00284, PR-00323, PR-00331, PR-00340, PR-00465"
REL-00033,,Release,Integrated automotive controls release 4.2,,Completed,Project NOVA / Variant EV-X,,"CR-00005, CR-00037, CR-00092, CR-00159, CR-00199, CR-00207, CR-00252, CR-00258, CR-00270, CR-00297, CR-00494, CR-00637, CR-00647, CR-00655, CR-00704, CR-00709, PR-00073, PR-00101, PR-00160, PR-00165, PR-00179, PR-00361, PR-00385, PR-00404, PR-00408"
REL-00034,,Release,Integrated automotive controls release 4.3,,Active,Project NOVA / Variant EV-X,,"CR-00001, CR-00025, CR-00113, CR-00170, CR-00254, CR-00414, CR-00648, CR-00688, CR-00715, CR-00749, PR-00004, PR-00007, PR-00087, PR-00177, PR-00255, PR-00472"
REL-00035,,Release,Integrated automotive controls release 4.4,,Completed,Project NOVA / Variant EV-X,,"CR-00003, CR-00054, CR-00100, CR-00132, CR-00145, CR-00200, CR-00219, CR-00304, CR-00368, CR-00406, CR-00425, CR-00451, CR-00489, CR-00605, CR-00618, CR-00624, CR-00631, CR-00702, PR-00040, PR-00054, PR-00058, PR-00156, PR-00280, PR-00344, PR-00382, PR-00469"
REL-00036,,Release,Integrated automotive controls release 4.5,,Released,Project NOVA / Variant EV-X,,"CR-00144, CR-00236, CR-00238, CR-00263, CR-00351, CR-00376, CR-00523, CR-00595, CR-00635, CR-00662, CR-00748, PR-00060, PR-00093, PR-00146, PR-00211, PR-00213, PR-00218, PR-00253, PR-00337, PR-00430, PR-00470"
REL-00037,,Release,Integrated automotive controls release 4.6,,Released,Project NOVA / Variant EV-X,,"CR-00043, CR-00074, CR-00179, CR-00181, CR-00196, CR-00343, CR-00382, CR-00446, CR-00468, CR-00491, CR-00519, CR-00614, CR-00664, CR-00666, CR-00672, CR-00682, CR-00714, PR-00010, PR-00013, PR-00024, PR-00043, PR-00104, PR-00127, PR-00228, PR-00267, PR-00409, PR-00449"
REL-00038,,Release,Integrated automotive controls release 4.7,,Active,Project NOVA / Variant EV-X,,"CR-00072, CR-00172, CR-00174, CR-00251, CR-00339, CR-00372, CR-00452, CR-00554, CR-00564, CR-00604, CR-00619, CR-00762, PR-00021, PR-00038, PR-00072, PR-00132, PR-00394"
REL-00039,,Release,Integrated automotive controls release 4.8,,Completed,Project NOVA / Variant EV-X,,"CR-00039, CR-00101, CR-00192, CR-00291, CR-00436, CR-00458, CR-00592, CR-00630, CR-00693, PR-00071, PR-00092, PR-00128, PR-00129, PR-00167, PR-00239, PR-00439"
REL-00040,,Release,Integrated automotive controls release 4.9,,Completed,Project NOVA / Variant EV-X,,"CR-00048, CR-00088, CR-00125, CR-00204, CR-00293, CR-00319, CR-00356, CR-00359, CR-00407, CR-00473, CR-00573, CR-00671, CR-00764, PR-00050, PR-00207, PR-00316, PR-00379, PR-00387, PR-00464"
REL-00041,,Release,Integrated automotive controls release 5.0,,Completed,Project NOVA / Variant EV-X,,"CR-00052, CR-00061, CR-00129, CR-00133, CR-00162, CR-00193, CR-00298, CR-00362, CR-00580, CR-00695, PR-00027, PR-00109, PR-00193, PR-00223, PR-00225, PR-00269, PR-00310, PR-00326, PR-00396, PR-00436"
REL-00042,,Release,Integrated automotive controls release 5.1,,Released,Project NOVA / Variant EV-X,,"CR-00067, CR-00104, CR-00232, CR-00266, CR-00314, CR-00322, CR-00352, CR-00399, CR-00429, CR-00481, CR-00497, CR-00545, CR-00579, CR-00589, PR-00094, PR-00150, PR-00163, PR-00278, PR-00304, PR-00457"
REL-00043,,Release,Integrated automotive controls release 5.2,,Released,Project NOVA / Variant EV-X,,"CR-00064, CR-00090, CR-00143, CR-00191, CR-00560, CR-00615, CR-00660, PR-00091, PR-00111, PR-00232, PR-00354, PR-00392, PR-00453, PR-00462, PR-00477"
REL-00044,,Release,Integrated automotive controls release 5.3,,Completed,Project NOVA / Variant EV-X,,"CR-00087, CR-00120, CR-00164, CR-00400, CR-00576, CR-00597, CR-00638, CR-00731, PR-00031, PR-00039, PR-00075, PR-00220, PR-00351"
REL-00045,,Release,Integrated automotive controls release 5.4,,Released,Project NOVA / Variant EV-X,,"CR-00024, CR-00035, CR-00126, CR-00189, CR-00194, CR-00335, CR-00338, CR-00398, CR-00417, CR-00428, CR-00601, CR-00627, PR-00097, PR-00158, PR-00185, PR-00214, PR-00369, PR-00454"
REL-00046,,Release,Integrated automotive controls release 5.5,,Released,Project NOVA / Variant EV-X,,"CR-00006, CR-00015, CR-00050, CR-00119, CR-00215, CR-00289, CR-00334, CR-00340, CR-00358, CR-00507, CR-00722, CR-00757, PR-00049, PR-00133, PR-00142, PR-00154, PR-00281, PR-00364, PR-00463"
REL-00047,,Release,Integrated automotive controls release 5.6,,Completed,Project NOVA / Variant EV-X,,"CR-00038, CR-00245, CR-00275, CR-00321, CR-00373, CR-00443, CR-00559, CR-00562, CR-00594, CR-00629, CR-00686, CR-00694, CR-00729, PR-00044, PR-00055, PR-00082, PR-00151, PR-00262, PR-00294, PR-00300, PR-00324, PR-00329, PR-00424"
REL-00048,,Release,Integrated automotive controls release 5.7,,Released,Project NOVA / Variant EV-X,,"CR-00220, CR-00267, CR-00375, CR-00379, CR-00493, CR-00511, CR-00568, CR-00656, CR-00683, CR-00728, CR-00732, CR-00756, PR-00026, PR-00036, PR-00048, PR-00263, PR-00268, PR-00285, PR-00325, PR-00350, PR-00426, PR-00440"
REL-00049,,Release,Integrated automotive controls release 5.8,,Completed,Project NOVA / Variant EV-X,,"CR-00029, CR-00057, CR-00171, CR-00190, CR-00201, CR-00209, CR-00212, CR-00241, CR-00253, CR-00281, CR-00329, CR-00365, CR-00478, CR-00537, CR-00556, CR-00626, CR-00687, CR-00741, PR-00025, PR-00103, PR-00117, PR-00289, PR-00295, PR-00348, PR-00427, PR-00441"
REL-00050,,Release,Integrated automotive controls release 5.9,,Completed,Project NOVA / Variant EV-X,,"CR-00103, CR-00217, CR-00244, CR-00246, CR-00348, CR-00433, CR-00439, CR-00479, CR-00508, CR-00690, PR-00011, PR-00012, PR-00042, PR-00155, PR-00168, PR-00210, PR-00293, PR-00459, PR-00466"
INP-00001,DOC-INP-0001,ALM Input,,Stakeholder input requires the hvac function to support cabin air quality monitoring during nominal and degraded operating conditions.,Specified,Project NOVA / Variant EV-X,"CR-00613, PR-00370, CR-00338",
INP-00002,DOC-INP-0001,ALM Input,,Marketing and engineering stakeholders jointly request enhanced ride-height sensing and leveling as a differentiating feature. Traceability to the originating stakeholder need shall be maintained.,Specified,Project NOVA / Variant EV-X,,
INP-00003,DOC-INP-0001,ALM Input,,Supplier feedback highlights opportunities to improve longitudinal distance estimation through revised component specifications.,ALM_Active,Project NOVA / Variant EV-X,"CR-00120, PR-00352",
INP-00004,DOC-INP-0001,ALM Input,,Early customer trials surfaced concerns about cell voltage that motivate improved cell-voltage monitoring and plausibility. Applicable calibration parameters shall be documented in the configuration baseline.,Accepted,Project NOVA / Variant EV-X,CR-00750,
INP-00005,DOC-INP-0001,ALM Input,,The vehicle program expects robust battery thermal protection with appropriate diagnostic feedback available to dependent functions. The implementation shall comply with applicable functional safety guidelines.,Accepted,Project NOVA / Variant EV-X,"CR-00270, PR-00018",
INP-00006,DOC-INP-0001,ALM Input,,"The suspension function is expected to maintain reliable axle load estimation across normal, boundary, and fault operating conditions.",Accepted,Project NOVA / Variant EV-X,"PR-00236, CR-00484, CR-00579",
INP-00007,DOC-INP-0001,ALM Input,,Early customer trials surfaced concerns about cabin temperature that motivate improved cabin temperature regulation.,Accepted,Project NOVA / Variant EV-X,"CR-00146, PR-00275, CR-00642",
INP-00008,DOC-INP-0001,ALM Input,,Early customer trials surfaced concerns about charge current that motivate improved charging-current limitation.,ALM_Active,Project NOVA / Variant EV-X,"CR-00096, PR-00022, CR-00360",
INP-00009,DOC-INP-0001,ALM Input,,"The vehicle network function is expected to maintain reliable inter-domain gateway message routing across normal, boundary, and fault operating conditions. Any deviation shall be documented and reviewed by the responsible engineering team.",Accepted,Project NOVA / Variant EV-X,,
INP-00010,DOC-INP-0001,ALM Input,,Early customer trials surfaced concerns about sensor fusion that motivate improved multi-sensor fusion plausibility. Verification evidence shall be captured in the test execution report.,ALM_Active,Project NOVA / Variant EV-X,CR-00404,
INP-00011,DOC-INP-0001,ALM Input,,Field feedback indicates a need for stronger traction motor torque control under real-world motor torque variability. The implementation shall comply with applicable functional safety guidelines.,Accepted,Project NOVA / Variant EV-X,,
INP-00012,DOC-INP-0001,ALM Input,,Supplier feedback highlights opportunities to improve battery thermal protection through revised component specifications.,Specified,Project NOVA / Variant EV-X,"CR-00086, CR-00216",
INP-00013,DOC-INP-0001,ALM Input,,Early customer trials surfaced concerns about cabin temperature that motivate improved cabin temperature regulation. Any deviation shall be documented and reviewed by the responsible engineering team.,Accepted,Project NOVA / Variant EV-X,"CR-00183, CR-00497",
INP-00014,DOC-INP-0001,ALM Input,,The customer expects the suspension function to demonstrate consistent adaptive damper control throughout the vehicle lifecycle.,ALM_Active,Project NOVA / Variant EV-X,"PR-00261, PR-00405",
INP-00015,DOC-INP-0001,ALM Input,,Cross-functional review identified motor-speed regulation as an area requiring further stakeholder alignment. The implementation shall comply with applicable functional safety guidelines.,Specified,Project NOVA / Variant EV-X,,
INP-00016,DOC-INP-0001,ALM Input,,Program stakeholders have requested improved DC fast-charging current control to support upcoming variant-level requirements. The behavior shall be verified during integration testing.,Specified,Project NOVA / Variant EV-X,"PR-00157, CR-00714",
INP-00017,DOC-INP-0001,ALM Input,,Stakeholder input requires the suspension function to support ride-height sensing and leveling during nominal and degraded operating conditions. Traceability to the originating stakeholder need shall be maintained.,ALM_Active,Project NOVA / Variant EV-X,"CR-00481, PR-00026",
INP-00018,DOC-INP-0001,ALM Input,,Supplier feedback highlights opportunities to improve degraded steering fallback behavior through revised component specifications. Traceability to the originating stakeholder need shall be maintained.,Accepted,Project NOVA / Variant EV-X,"CR-00203, PR-00400",
REQ-00001,DOC-REQ-0001,ALM Requirement,,The system shall support configuration of charge scheduling thresholds without requiring a software update.,Accepted,Project NOVA / Variant EV-X,CR-00503,
REQ-00002,DOC-REQ-0001,ALM Requirement,,The system shall preserve the last valid CAN bus signal value for use during transient signal loss. Traceability to the originating stakeholder need shall be maintained.,Specified,Project NOVA / Variant EV-X,CR-00229,
REQ-00003,DOC-REQ-0001,ALM Requirement,,The system shall preserve the last valid network wakeup value for use during transient signal loss.,Accepted,Project NOVA / Variant EV-X,"PR-00326, CR-00007, CR-00084",
REQ-00004,DOC-REQ-0001,ALM Requirement,,The system shall report state of charge status to the vehicle-level diagnostic manager within the specified interval. The behavior shall be verified during integration testing.,Accepted,Project NOVA / Variant EV-X,"PR-00176, CR-00430",
REQ-00005,DOC-REQ-0001,ALM Requirement,,The system shall support configuration of brake pressure thresholds without requiring a software update.,ALM_Active,Project NOVA / Variant EV-X,"CR-00278, CR-00687",
REQ-00006,DOC-REQ-0001,ALM Requirement,,The system shall preserve the last valid CAN bus signal value for use during transient signal loss.,Accepted,Project NOVA / Variant EV-X,,
REQ-00007,DOC-REQ-0001,ALM Requirement,,The vehicle network function shall transition to a defined safe behavior when gateway routing is unavailable or implausible.,Accepted,Project NOVA / Variant EV-X,"PR-00116, PR-00274",
REQ-00008,DOC-REQ-0001,ALM Requirement,,The steering function shall prioritize steering angle evaluation over lower-priority diagnostic routines. Verification evidence shall be captured in the test execution report.,Accepted,Project NOVA / Variant EV-X,,
REQ-00009,DOC-REQ-0001,ALM Requirement,,The braking function shall log diagnostic trouble codes when wheel speed exceeds calibrated limits. This requirement applies to both nominal and degraded operating modes.,ALM_Active,Project NOVA / Variant EV-X,"PR-00016, CR-00704",
REQ-00010,DOC-REQ-0001,ALM Requirement,,The braking function shall prioritize wheel slip evaluation over lower-priority diagnostic routines. Traceability to the originating stakeholder need shall be maintained.,ALM_Active,Project NOVA / Variant EV-X,"CR-00023, CR-00477",
REQ-00011,DOC-REQ-0001,ALM Requirement,,The system shall support configuration of ride height thresholds without requiring a software update. The behavior shall be verified during integration testing.,ALM_Active,Project NOVA / Variant EV-X,"PR-00451, CR-00421, CR-00219",
REQ-00012,DOC-REQ-0001,ALM Requirement,,The suspension function shall recover normal operation after valid damper control information becomes available again. The implementation shall comply with applicable functional safety guidelines.,ALM_Active,Project NOVA / Variant EV-X,,
REQ-00013,DOC-REQ-0001,ALM Requirement,,The vehicle network function shall notify dependent subsystems when gateway routing enters a degraded state.,Accepted,Project NOVA / Variant EV-X,"PR-00166, PR-00274, PR-00131",
REQ-00014,DOC-REQ-0001,ALM Requirement,,The charging control system shall apply hysteresis to DC fast charging evaluation to avoid nuisance transitions.,Specified,Project NOVA / Variant EV-X,PR-00481,
REQ-00015,DOC-REQ-0001,ALM Requirement,,The system shall provide diagnostic status information when a fault affecting ride height is detected. Applicable calibration parameters shall be documented in the configuration baseline.,ALM_Active,Project NOVA / Variant EV-X,PR-00231,
REQ-00016,DOC-REQ-0001,ALM Requirement,,The thermal function shall prioritize coolant flow evaluation over lower-priority diagnostic routines. Applicable calibration parameters shall be documented in the configuration baseline.,Specified,Project NOVA / Variant EV-X,,
REQ-00017,DOC-REQ-0001,ALM Requirement,,The system shall maintain traction motor torque control when operating conditions cross calibrated boundary thresholds. This applies across all configured vehicle variants.,ALM_Active,Project NOVA / Variant EV-X,"CR-00091, CR-00318",
REQ-00018,DOC-REQ-0001,ALM Requirement,,The battery function shall log diagnostic trouble codes when cell voltage exceeds calibrated limits. Traceability to the originating stakeholder need shall be maintained.,Specified,Project NOVA / Variant EV-X,,
REQ-00019,DOC-REQ-0001,ALM Requirement,,The system shall preserve the last valid speed control value for use during transient signal loss. Any deviation shall be documented and reviewed by the responsible engineering team.,ALM_Active,Project NOVA / Variant EV-X,,
REQ-00020,DOC-REQ-0001,ALM Requirement,,The vehicle network function shall notify dependent subsystems when gateway routing enters a degraded state. Any deviation shall be documented and reviewed by the responsible engineering team.,ALM_Active,Project NOVA / Variant EV-X,CR-00197,
REQ-00021,DOC-REQ-0001,ALM Requirement,,The system shall provide diagnostic status information when a fault affecting vibration monitoring is detected. Traceability to the originating stakeholder need shall be maintained.,ALM_Active,Project NOVA / Variant EV-X,CR-00240,
REQ-00022,DOC-REQ-0001,ALM Requirement,,The system shall report DC fast charging status to the vehicle-level diagnostic manager within the specified interval. The implementation shall comply with applicable functional safety guidelines.,Accepted,Project NOVA / Variant EV-X,"CR-00437, CR-00173, PR-00426",
REQ-00023,DOC-REQ-0001,ALM Requirement,,The braking control system shall monitor wheel speed and detect invalid or implausible conditions within the configured diagnostic interval. The implementation shall comply with applicable functional safety guidelines.,Specified,Project NOVA / Variant EV-X,PR-00017,
REQ-00024,DOC-REQ-0001,ALM Requirement,,The system shall provide diagnostic status information when a fault affecting coolant flow is detected.,ALM_Active,Project NOVA / Variant EV-X,,
REQ-00025,DOC-REQ-0001,ALM Requirement,,The powertrain function shall transition to a defined safe behavior when torque limitation is unavailable or implausible.,Accepted,Project NOVA / Variant EV-X,,
REQ-00026,DOC-REQ-0001,ALM Requirement,,The steering control system shall apply hysteresis to steering assist evaluation to avoid nuisance transitions. Applicable calibration parameters shall be documented in the configuration baseline.,ALM_Active,Project NOVA / Variant EV-X,"CR-00024, CR-00067",
REQ-00027,DOC-REQ-0001,ALM Requirement,,The suspension control system shall monitor ride height and detect invalid or implausible conditions within the configured diagnostic interval.,Specified,Project NOVA / Variant EV-X,"CR-00182, PR-00026, CR-00137",
REQ-00028,DOC-REQ-0001,ALM Requirement,,The system shall maintain CAN bus signal timeout handling when operating conditions cross calibrated boundary thresholds.,ALM_Active,Project NOVA / Variant EV-X,"CR-00017, CR-00195",
REQ-00029,DOC-REQ-0001,ALM Requirement,,The steering control system shall apply hysteresis to fallback evaluation to avoid nuisance transitions. Any deviation shall be documented and reviewed by the responsible engineering team.,ALM_Active,Project NOVA / Variant EV-X,,
REQ-00030,DOC-REQ-0001,ALM Requirement,,The charging function shall transition to a defined safe behavior when charge port is unavailable or implausible. The implementation shall comply with applicable functional safety guidelines.,ALM_Active,Project NOVA / Variant EV-X,"CR-00482, CR-00763",
