Baseline_ID,Release_ID,Artifact_ID,Artifact_Type,Document_ID,Project,Membership_Source
BL-REL-00004,REL-00004,INP-00008,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00006,REL-00006,INP-00008,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00012,REL-00012,INP-00008,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00020,REL-00020,INP-00008,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00047,REL-00047,INP-00009,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00049,REL-00049,INP-00009,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00050,REL-00050,INP-00009,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00007,REL-00007,INP-00010,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00033,REL-00033,INP-00010,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00038,REL-00038,INP-00010,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00042,REL-00042,INP-00010,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00025,REL-00025,INP-00011,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00016,REL-00016,INP-00012,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00017,REL-00017,INP-00012,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00026,REL-00026,INP-00012,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00031,REL-00031,INP-00012,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00014,REL-00014,INP-00013,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00027,REL-00027,INP-00013,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00042,REL-00042,INP-00013,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00006,REL-00006,INP-00014,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00020,REL-00020,INP-00014,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00049,REL-00049,INP-00014,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00014,REL-00014,INP-00015,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00006,REL-00006,INP-00016,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00028,REL-00028,INP-00016,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00037,REL-00037,INP-00016,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00043,REL-00043,INP-00016,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00042,REL-00042,INP-00017,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00044,REL-00044,INP-00017,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00048,REL-00048,INP-00017,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00001,REL-00001,INP-00018,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00018,REL-00018,INP-00018,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00037,REL-00037,INP-00018,ALM Input,DOC-INP-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00008,REL-00008,REQ-00001,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00025,REL-00025,REQ-00001,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00026,REL-00026,REQ-00001,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00042,REL-00042,REQ-00001,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00011,REL-00011,REQ-00002,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00018,REL-00018,REQ-00002,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00008,REL-00008,REQ-00003,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00019,REL-00019,REQ-00003,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00041,REL-00041,REQ-00003,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00045,REL-00045,REQ-00003,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00011,REL-00011,REQ-00004,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00035,REL-00035,REQ-00004,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00039,REL-00039,REQ-00005,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00049,REL-00049,REQ-00005,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00026,REL-00026,REQ-00006,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00006,REL-00006,REQ-00007,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00021,REL-00021,REQ-00007,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00032,REL-00032,REQ-00007,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00035,REL-00035,REQ-00007,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00039,REL-00039,REQ-00007,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00025,REL-00025,REQ-00008,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00001,REL-00001,REQ-00009,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00017,REL-00017,REQ-00009,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00033,REL-00033,REQ-00009,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00013,REL-00013,REQ-00010,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00022,REL-00022,REQ-00010,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00043,REL-00043,REQ-00010,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00044,REL-00044,REQ-00010,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00002,REL-00002,REQ-00011,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00017,REL-00017,REQ-00011,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00031,REL-00031,REQ-00011,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00035,REL-00035,REQ-00011,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00036,REL-00036,REQ-00011,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00028,REL-00028,REQ-00012,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00006,REL-00006,REQ-00013,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00019,REL-00019,REQ-00013,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00029,REL-00029,REQ-00013,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00039,REL-00039,REQ-00013,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00040,REL-00040,REQ-00013,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00042,REL-00042,REQ-00013,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00036,REL-00036,REQ-00014,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00042,REL-00042,REQ-00014,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00027,REL-00027,REQ-00015,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00018,REL-00018,REQ-00016,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00022,REL-00022,REQ-00016,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00026,REL-00026,REQ-00016,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00006,REL-00006,REQ-00017,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00009,REL-00009,REQ-00017,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00013,REL-00013,REQ-00017,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00023,REL-00023,REQ-00017,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00017,REL-00017,REQ-00018,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00041,REL-00041,REQ-00018,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00049,REL-00049,REQ-00019,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00006,REL-00006,REQ-00020,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00012,REL-00012,REQ-00020,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00007,REL-00007,REQ-00021,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00037,REL-00037,REQ-00021,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00014,REL-00014,REQ-00022,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00015,REL-00015,REQ-00022,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00048,REL-00048,REQ-00022,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00008,REL-00008,REQ-00023,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00024,REL-00024,REQ-00023,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00026,REL-00026,REQ-00023,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00042,REL-00042,REQ-00024,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00043,REL-00043,REQ-00024,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00005,REL-00005,REQ-00025,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00012,REL-00012,REQ-00025,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00027,REL-00027,REQ-00025,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00019,REL-00019,REQ-00026,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00023,REL-00023,REQ-00026,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00032,REL-00032,REQ-00026,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00042,REL-00042,REQ-00026,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00045,REL-00045,REQ-00026,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00003,REL-00003,REQ-00027,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00017,REL-00017,REQ-00027,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00031,REL-00031,REQ-00027,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00048,REL-00048,REQ-00027,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00001,REL-00001,REQ-00028,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00023,REL-00023,REQ-00028,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00030,REL-00030,REQ-00028,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00049,REL-00049,REQ-00028,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00034,REL-00034,REQ-00029,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00036,REL-00036,REQ-00029,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00008,REL-00008,REQ-00030,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00029,REL-00029,REQ-00030,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00035,REL-00035,REQ-00030,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00004,REL-00004,REQ-00031,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00013,REL-00013,REQ-00032,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00014,REL-00014,REQ-00032,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00034,REL-00034,REQ-00033,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00036,REL-00036,REQ-00033,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00019,REL-00019,REQ-00034,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00032,REL-00032,REQ-00034,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00017,REL-00017,REQ-00035,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00021,REL-00021,REQ-00035,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00022,REL-00022,REQ-00035,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00035,REL-00035,REQ-00035,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00047,REL-00047,REQ-00035,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00019,REL-00019,REQ-00036,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00021,REL-00021,REQ-00036,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00026,REL-00026,REQ-00036,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00036,REL-00036,REQ-00036,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00049,REL-00049,REQ-00036,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00017,REL-00017,REQ-00037,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00018,REL-00018,REQ-00037,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00025,REL-00025,REQ-00037,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00034,REL-00034,REQ-00037,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00005,REL-00005,REQ-00038,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00014,REL-00014,REQ-00038,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00017,REL-00017,REQ-00038,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00002,REL-00002,REQ-00039,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00023,REL-00023,REQ-00039,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00036,REL-00036,REQ-00039,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00025,REL-00025,REQ-00040,ALM Requirement,DOC-REQ-0001,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00033,REL-00033,REQ-00041,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00036,REL-00036,REQ-00041,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00039,REL-00039,REQ-00041,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00044,REL-00044,REQ-00041,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00048,REL-00048,REQ-00041,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00044,REL-00044,REQ-00042,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00014,REL-00014,REQ-00043,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00027,REL-00027,REQ-00043,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00028,REL-00028,REQ-00043,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00036,REL-00036,REQ-00043,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00043,REL-00043,REQ-00043,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00034,REL-00034,REQ-00044,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00038,REL-00038,REQ-00044,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00011,REL-00011,REQ-00045,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00018,REL-00018,REQ-00045,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00020,REL-00020,REQ-00045,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00032,REL-00032,REQ-00045,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00029,REL-00029,REQ-00046,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00031,REL-00031,REQ-00046,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00036,REL-00036,REQ-00046,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00020,REL-00020,REQ-00047,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00005,REL-00005,REQ-00048,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00017,REL-00017,REQ-00048,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00028,REL-00028,REQ-00048,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00030,REL-00030,REQ-00048,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00021,REL-00021,REQ-00049,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00033,REL-00033,REQ-00049,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00008,REL-00008,REQ-00050,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00015,REL-00015,REQ-00050,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00033,REL-00033,REQ-00050,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00004,REL-00004,REQ-00051,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00007,REL-00007,REQ-00051,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00017,REL-00017,REQ-00051,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00040,REL-00040,REQ-00052,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00041,REL-00041,REQ-00053,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00001,REL-00001,REQ-00054,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00008,REL-00008,REQ-00054,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00027,REL-00027,REQ-00054,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Carry Forward
BL-REL-00034,REL-00034,REQ-00055,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00002,REL-00002,REQ-00056,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,CR/PR Release Traceability
BL-REL-00021,REL-00021,REQ-00056,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00025,REL-00025,REQ-00057,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Lifecycle
BL-REL-00035,REL-00035,REQ-00057,ALM Requirement,DOC-REQ-0002,Project NOVA / Variant EV-X,Historical Carry Forward
